Field,.,.a,.b,.c,.d,NA
v173,,Not applicable,Refusal,Don't know,No answer,
v174,,Not applicable,Refusal,Don't know,No answer,
v175,,,,,,
v176,,,,,,
v177,,Refusal,Don't know,No answer,,
v178,,Refusal,Don't know,No answer,,
v179,,Refusal,Don't know,No answer,,
v180,,Refusal,Don't know,No answer,,
v181,,Refusal,Don't know,No answer,,
v182,,Not applicable,Refusal,Don't know,No answer,
v183,,Refusal,Don't know,No answer,,
v184,,Refusal,Don't know,No answer,,
v185,,,,,,
v186,,Refusal,Don't know,No answer,,
v187,,Refusal,Don't know,No answer,,
v188,,Not applicable,Refusal,Don't know,No answer,
v189,,Refusal,Don't know,No answer,,
v190,,Not applicable,Refusal,No answer,,
v191,,Not applicable,Refusal,No answer,,
v192,Nothing,Not applicable,Refusal,,No answer,
v193,Nothing,Not applicable,,,No answer,
v194,Nothing,Not applicable,,,No answer,
v195,Nothing,Not applicable,,,No answer,
v196,,Not applicable,Refusal,Don't know,No answer,
v197,,Not applicable,Refusal,Don't know,No answer,
v198,,Not applicable,Refusal,Don't know,No answer,
v199,,Not applicable,Refusal,Don't know,No answer,
v200,,Not applicable,Refusal,Don't know,No answer,
v201,Nothing,Not applicable,Refusal,,No answer,
v202,Nothing,Not applicable,Refusal,,No answer,
v203,Nothing,Not applicable,Refusal,,No answer,
v204,Nothing,Not applicable,Refusal,,No answer,
v205,Nothing,Not applicable,,,No answer,
v206,Nothing,Not applicable,,,No answer,
v207,Nothing,Not applicable,,,No answer,
v208,,Not applicable,Refusal,Don't know,No answer,
v209,,Not applicable,Refusal,Don't know,No answer,
v210,,Not applicable,Refusal,Don't know,No answer,
v211,,Not applicable,Refusal,Don't know,No answer,
v212,,Not applicable,Refusal,Don't know,No answer,
v213,Nothing,Not applicable,Refusal,,No answer,
v214,Nothing,Not applicable,Refusal,,No answer,
v215,Nothing,Not applicable,Refusal,,No answer,
v216,,Not applicable,Refusal,Don't know,No answer,
v217,,,,,,
v218,,,,,,
v219,,Refusal,Don't know,No answer,,
v220,,Refusal,Don't know,No answer,,
v221,,Refusal,Don't know,No answer,,
v222,,Refusal,Don't know,No answer,,
v223,,Refusal,Don't know,No answer,,
v224,,Refusal,Don't know,No answer,,
v225,,Refusal,Don't know,No answer,,
v226,,Refusal,Don't know,No answer,,
v227,,Refusal,Don't know,No answer,,
v228,,Not available,,,,
v229,,Not available,,,,
v230,,Not available,,,,
v231,,Not applicable,Refusal,Don't know,No answer,
v232,,Refusal,Don't know,No answer,,
v233,,Refusal,Don't know,No answer,,
v234,,Refusal,Don't know,No answer,,
v235,,Refusal,Don't know,No answer,,
v236,,Refusal,Don't know,No answer,,
v237,,Refusal,Don't know,No answer,,
v238,,Refusal,Don't know,No answer,,
v239,,Not applicable,Refusal,Don't know,No answer,
v240,,Refusal,Don't know,No answer,,
v241,,Not applicable,Refusal,Don't know,No answer,
v242,,Refusal,Don't know,No answer,,
v243,,Not applicable,Refusal,Don't know,No answer,
v244,,,,,,
v245,,,,,,
v246,,,,,,
v247,,,,,,
v248,,Refusal,Don't know,No answer,,
v249,,Not applicable,Refusal,Don't know,No answer,
v250,,Not applicable,Refusal,Don't know,No answer,
v251,,Not applicable,Refusal,Don't know,No answer,
v252,,Not applicable,Refusal,Don't know,No answer,
v253,,Refusal,Don't know,No answer,,
v254,,Not applicable,Refusal,Don't know,No answer,
v255,,Not applicable,Refusal,Don't know,No answer,
v256,Nothing,Refusal,Don't know,No answer,,
v257,,Refusal,Don't know,No answer,,
v258,,Refusal,Don't know,No answer,,
v259,,Not applicable,Refusal,Don't know,No answer,
v260,Not applicable,Not applicable,Refusal,Don't know,No answer,
v261,Not applicable,Not applicable,Refusal,Don't know,No answer,
v262,Not applicable,Not applicable,Refusal,Don't know,No answer,
v263,Not applicable,Not applicable,Refusal,Don't know,No answer,
v264,Not applicable,Not applicable,Refusal,Don't know,No answer,
v265,Not applicable,Not applicable,Refusal,Don't know,No answer,
v266,Not applicable,Not applicable,Refusal,Don't know,No answer,
v267,Not applicable,Not applicable,Refusal,Don't know,No answer,
v268,Not applicable,Not applicable,Refusal,Don't know,No answer,
v269,Not applicable,Not applicable,Refusal,Don't know,No answer,
v270,Not applicable,Not applicable,Refusal,Don't know,No answer,
